Fish_type Location_name latitude longitude
Bornholm_Laks 31’eren 55.24.300 14.58.700
Bornholm_Laks Anders_Sten 55.34.200 15.09.000
Bornholm_Laks Davids_Banke 55.22.000 14.41.000
Bornholm_Laks Don’s_Knold 55.26.400 14.53.700
Bornholm_Laks Gravstenen_øst 55.29.000 14.55.300
Bornholm_Laks Navn_Ukendt 55.13.314 15.01.971
Bornholm_Laks Navn_Ukendt 55.13.144 15.02.085
Bornholm_Laks Navn_Ukendt 55.13.757 15.00.747
Bornholm_Laks Navn_Ukendt 55.17.500 14.29.500
Bornholm_Laks Navn_Ukendt 55.12.000 15.13.500
Bornholm_Laks Navn_Ukendt 55.13.428 15.00.658
Bornholm_Laks Nejlen 55.22.200 15.02.200
Bornholm_Laks Nordstenen_nord 55.30.500 15.20.200
Bornholm_Laks Nordstenen_syd 55.28.800 15.17.900
Bornholm_Laks NV_Grund 55.20.800 15.09.000
Bornholm_Laks Stablen 55.06.000 15.13.200
Bornholm_Laks Terrassen 55.16.400 15.12.000
unknown Winnie_Rita 57.24.572 8.19.523
unknown Rana 57.21.572 8.11.524
unknown Sikka_L910 57.26.220 8.23.123
unknown Jonni_Boy 57.26.220 8.23.734
unknown Kristina_Laban 57.19.572 7.59.524
unknown Constantin 57.19.350 8.28.911
unknown Sten_Pram_1 57.18.869 8.20.769
unknown Sten_Pram_2 57.14.750 8.27.892
unknown Herman_Krone 57.12.730 8.34.554
unknown Krigsskibet 57.13.570 7.45.540
unknown Fiskekutter 57.15.782 8.14.245
unknown Sten_Knold_1 57.19.370 8.21.430
unknown Sten_Knold_2 57.19.189 8.19.000
unknown Knold_1 57.07.275 7.52.365
unknown Knold_2 57.15.200 8.05.520
unknown Knold_3 57.07.310 7.52.450
unknown Knold_4 57.16.810 7.57.420
unknown Knold_5 57.23.170 7.51.700
unknown Knold_6 57.17.060 8.17.420
unknown Knold_7 57.19.190 8.19.000
unknown God_Knold_1 57.17.920 8.31.816
unknown God_Knold_2 57.16.990 7.59.000
unknown Knolde_1 57.17.130 7.58.230
unknown Knolde_2 57.19.370 8.21.430
unknown Stor_Knold 57.19.900 8.13.960
unknown Sten_1 57.22.266 8.40.896
unknown Sten_2 57.24.889 7.53.500
unknown Stentoppe 57.06.500 8.25.300
unknown Sten_Bonito 57.21.321 8.26.373
unknown Sten_Mølboen_1 57.06.761 8.10.348
unknown Sten_Mølboen_2 57.07.668 8.15.303
unknown Stenhullet_Yderkant 57.18.690 8.00.396
unknown Kæmpe_Sten 57.19.795 8.31.816
unknown Store_Sten 57.11.128 8.34.457
unknown Kalksten 57.10.325 8.33.697
unknown Store_Torsk 57.20.326 8.32.456
unknown Store_Torsk_Skrænt_1 57.17.180 8.23.490
unknown Store_Torsk_Skrænt_2 57.16.932 8.23.972
unknown Hul_1_(mange_fisk) 57.18.577 7.34.970
unknown Hul_2_(mange_fisk) 57.18.440 7.35.040
unknown Thailand_(langer) 57.15.676 6.58.042
unknown Stenområde1 57.17.861 8.15.460
unknown Stenområde_2 57.08.059 8.34.779
unknown Stenområde_3 57.18.838 8.04.000
unknown Stenområde_4 57.17.130 7.58.230
unknown Stenområde_5 57.18.668 8.00.232
unknown Stenområde_6 57.16.932 8.23.972
unknown Stenområde_7 57.16.994 8.23.490
unknown Stenområde_8 57.17.186 8.23.490
unknown Det_Gule_Rev 57.17.180 8.23.490
unknown Firkant_punkt_1 57.09.000 8.15.500
unknown Firkant_punkt_2 57.07.500 8.18.000
unknown Firkant_punkt_3 57.06.000 8.14.000
unknown Firkant_punkt_4 57.07.000 8.12.500
unknown Norsk_Position 57.19.900 8.13.960
unknown Ukendt_Navn 57.16.010 8.14.066
unknown Ukendt_Navn 57.19.940 8.05.690
unknown Ukendt_Navn 57.18.870 8.20.770
unknown Ukendt_Navn 57.16.810 7.57.420
unknown Ukendt_Navn 57.07.510 8.18.080
unknown Ukendt_Navn 57.07.098 8.12.550
unknown Ukendt_Navn 57.06.510 8.25.301
unknown Ukendt_Navn 57.19.903 8.13.960
unknown Ukendt_Navn 57.19.197 8.19.040
