Fish_type,Location_name,latitude,longitude
"Torsk, helleflynder",Övre djupskolt,70.40.14,21.51.16
"Havkat, torsk,helleflynder",Yttre_djupskolt,70.40.03,21.44.96
"Havkat, torsk, helleflynder",Grunnback,70.40.75,21.43.34
"Torsk, sej, lange, brosme",Reis,70.41.58,21.44.09
"Helleflynder, torsk",Andottsskallen,70.42.54,21.48.92
"Torsk og helleflynder",Södre Runningen,70.37.10,21.38.25
"Torsk og helleflynder",Runningen,70.38.24,21.40.29
"Torsk og helleflynder",Norra Runningen,70.38.49,21.39.32
Havkat,Kveitegrunn,70.33.70,21.43.35
"Havkat, helleflynder, torsk",Ryggen,70.42.52,21.56.14
"Helleflynder, torsk, sej",Sildbåen,70.45.78,22.04.42
"Kungsfisk/rødfisk",10-Öringen,70.36.05,21.32.50
"Havkat, helleflynder",Silstoe,70.27.65,22.08.41
Torsk,Storskalltaren,70.39.72,20.30.23
"Torsk, helleflynder",Storskalltaren,70.36.63,20.34.44
"Helleflynder, torsk",Storskalltaren,70.34.70,20.32.65
"Helleflynder 2007",Storskaltaran,70.38.448,20.32.365
"Helleflynder 2007",Storskaltaran,70.35.993,20.27.868
"Torsk, helleflynder",Råsa,70.54.43,22.12.01
"Torsk, helleflynder",Råsa,70.54.54,22.14.48
"Torsk, helleflynder",Råsa,70.54.93,22.14.85
"Torsk, helleflynder",Råsaknudorna,70.56.31,22.30.16
"Torsk 20kg 2007",Allangstaran,70.35.221,20.32.424
"Helleflynder 2007",Allangstaran,70.35.214,20.33.455
"Helleflynder 2007",Allangstaran,70.35.502,20.32.982
"Helleflynder 2007",Allangstaran,70.35.704,20.32.490
"Helleflynder 2007",Allangstaran,70.35.430,20.34.021
