Positioner latitude longitude
Anemonevraget_(Vrag) 55.49.874 12.41.625
Birgit_(Vrag) 56.04.893 12.36.198
Brostensvraget_(Vrag) 56.18.098 12.20.422
Cementbåden_(Vrag) 55.51.982 12.44.584
Ceylon_(Vrag) 55.56.321 12.38.164
Cronborg_(Vrag) 55.40.202 12.41.917
Desdemona_(Vrag) 56.13.772 12.11.448
Englænderen_(Vrag) 56.05.720 12.32.110
Eisfish_(Vrag) 56.16.116 12.11.560
Ekko_(Vrag) 56.07.750 12.30.414
Ernte_(Vrag) 55.51.982 12.36.357
Fusion_H10_(Vrag) 56.10.709 12.21.254
Hotellet_(Vrag) 56.05.173 12.38.568
Hven_Prammen_(Vrag) 55.55.137 12.38.423
Hven_Vest_(Vrag) 55.53.427 12.38.423
Johanne_(Vrag) 56.19.693 12.23.342
Johannes_L._(Vrag) 56.00.107 12.43.293
Livlig_(Vrag) 55.53.659 12.39.610
Mir’s_Vrag_(Vrag) 56.13.373 12.16.006
Møen_(Vrag) 55.46.628 12.45.568
Norreborg,_Hven_(Vrag) 55.55.162 12.42.460
Nyt_Møllevrag_(Vrag) 56.14.005 12.27.009
Patentanker_(Vrag) 56.07.241 12.27.058
Rubine_(Vrag) 55.54.374 12.38.895
Sigrid_S/S_(Vrag) 56.13.869 12.14.551
Sinne_Nordfisk_(Vrag) 55.49.120 12.42.095
Sjælland_(Vrag) 55.58.620 12.33.558
Stenfragteren_(Vrag) 56.16.876 12.17.309
Twin_(Vrag) 56.01.560 12.36.672
Urania_(Vrag) 56.17.676 12.17.822
Valencia_S/S 56.11.037 12.17.174
Ågil_(Vrag) 56.10.455 12.27.194
Otto_(Vrag) 56.04.108 12.37.647
Wargon_(Vrag) 56.04.889 12.36.198
Rezlff_Emil_(Vrag) 56.04.308 12.38.033
Benzinøen_(Vrag) 55.41.169 12.38.519
Gunda_Wal_(Vrag) 56.04.889 12.34.458
Snarenssvend_(Vrag) 55.59.475 12.36.928
Stine_(Vrag) 55.40.120 12.42.095
Flyvemaskine 56.00.348 12.41.013
Fremad_(Vrag) 55.59.244 12.37.577
Kalle_(Vrag) 55.58.798 12.38.080
Polaris_(Vrag) 56.06.626 12.34.773
Julie_(Vrag) 56.14.458 12.24.825
Landgangsbåden_(Vrag) 55.50.631 12.45.448
Leda_(Vrag) 55.54.494 12.37.938
Minestryger_(Vrag) 56.08.757 12.28.655
Johanne_(Vrag) 56.19.693 12.23.342
Jylland_(Vrag) 56.00.457 12.36.247
K7_(Vrag) 55.59.209 12.38.312
Robert_(Vrag) 55.55.537 12.43.232
